Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
mastodon.partecipa.digital: 12
hostux.social: 12
midori.social: 12
penguicon.social: 12
mastodont.social: 12
sunny.garden: 12
livellosegreto.it: 12
gensokyo.social: 12
drake.network: 12
wug.fun: 12
civiq.social: 12
social.planet-vapers.com: 12
mast.wholemars.com: 12
socialism.social: 12
gorone.xyz: 12
frenfiverse.net: 12
shigadon.com: 12
mk.phreedom.club: 12
simstim.club: 11
social.umeahackerspace.se: 11
hub.libranet.de: 11
hackertribe.io: 11
social.bytesexual.net: 11
social.oalm.gub.uy: 11
indigedon.com: 11
3.distsn.org: 11
mastodon.hackerlab.fr: 11
don.mamemo.online: 11
social.snopyta.org: 11
fikaverse.club: 11
kopiti.am: 11
ravenation.club: 11
social.mochi.academy: 11
gayrobot.club: 11
freehold.earth: 11
mastodonti.co: 11
disabled.social: 11
mastoton.fi: 11
comics.town: 11
toot.world: 11
m.hxbus.net: 11
biscuit.town: 11
cdrom.tokyo: 11
pixey.org: 11
mastodon.se: 11
bananachips.club: 11
jumanji.co: 11
a2mi.social: 11
redroo.ml: 11
kpop.social: 11
cloudisland.nz: 11
thicc.horse: 11
peertube.linuxrocks.online: 11
mast.linuxgamecast.com: 11
mastodon.opportunis.me: 11
mastodon.mg: 11
thezone.zone: 11
libertalia.world: 11
mstdn.poyo.me: 11
social.taker.fr: 11
freezepeach.xyz: 11
freespeech.firedragonstudios.com: 11
odakyu.app: 11
video.ploud.jp: 11
mastodon.wakayama.jp: 11
www.freechinaweibo.com: 11
social.seattle.wa.us: 10
high.cat: 10
fedi.lynnesbian.space: 10
fern.surgeplay.com: 10
vt.social: 10
okadon.masto.host: 10
bigshoulders.city: 10
cyberplace.social: 10
m.abunchtell.com: 10
eigenmagic.net: 10
matitodon.com: 10
gezondemedia.nl: 10
social.mootech.eu: 10
iwatedon.net: 10
mastodon.opencloud.lu: 10
tube.bootlicker.party: 10
rage.love: 10
social.sakamoto.gq: 10
numaverse.com: 10
society.oftrolls.com: 10
expshift.com: 10
triangletoot.party: 10
mk.absturztau.be: 10
akko.disqordia.space: 10
foresdon.jp: 10
goldandblack.xyz: 10
mk.nixnet.social: 10
mastodon.uy: 10
catboy.cafe: 10
me.dm: 10
animal.church: 10
scream.cloud: 10
social.furry.nz: 10
aethy.com: 10
friendzone.social: 10
cubhub.social: 10
colorid.es: 10
imastodon.org: 10
mastodon.kitchen: 10
mastodon.fkpk.org: 10
hearthtodon.com: 10
emacs.ch: 10
friends.deko.cloud: 10
mastodon.care-tags.org: 10
mstdn.starnix.network: 10
embracing.space: 10
mastodon.motcha.tech: 10
social.alex73630.xyz: 10
mammut.space: 10
occitanie.social: 10
ganesha.masto.host: 10
fedi.koyu.space: 10
sociale.network: 10
nebbia.fail: 10
gochisou.photo: 10
mastodon-japan.net: 10
mastodon.nil.nu: 10
lizard.zone: 10
gunmastodon.com: 10
honey.church: 10
misskey.cf: 10
snowdin.town: 9
micro.fragdev.com: 9
w3c.social: 9
toots.social: 9
mikumikudance.cloud: 9
makerdon.org: 9
gs.sdf.org: 9
qua.name: 9
ohnomy.rocks: 9
ministry.moonbutt.science: 9
socia.esperant.io: 9
social.masto.host: 9
social.nofftopia.com: 9
graz.social: 9
ms-olive.club: 9
be.cutewith.me: 9
leftodon.social: 9
mstdn.superspeed-fall.com: 9
worm.horse: 9
itabashi.0j0.jp: 9
mastodon.bayern: 9
lasarna.masto.host: 9
friendica.feneas.org: 9
patch.cx: 9
shpposter.club: 9
spanner.works: 9
solarpunk.moe: 9
socially.whimsic.al: 9
mastodon.weaponvsac.space: 9
snug.moe: 9
beppo.online: 9
fedi.dyke.space: 9
melon.computer: 9
social.illegalpornography.com: 9
stalin.rocks: 9
mostodon.cloud: 9
enby.club: 9
butthole.masto.host: 9
critter.zone: 9
mastodon.earth: 9
cyberfurz.social: 9
mastodon.horde.net.br: 9
booktoot.club: 9
mastodon.centiworks.com: 9
cityofchicago.live: 9
ausglam.space: 9
blorbo.social: 9
monsterfuckers.online: 9
social.troll.academy: 9
fem.social: 9
polyamory.social: 9
scramble.city: 9
mastodon.libre-entreprise.com: 9
shimaidon.net: 9
romancelandia.club: 9
lewd.website: 9
social.i2p.rocks: 9
eletusk.club: 9
gensokyo.cloud: 9
wp-social.net: 9
mstdn.hyogo.jp: 9
